z, Voltage (V), Electric Field (Newton/Coulomb)
0.00220664 , 1436.79 , -451473
0.00220164 , 1434.53 , -452378
0.00219664 , 1432.26 , -453283
0.00219164 , 1429.99 , -454188
0.00218664 , 1427.72 , -455092
0.00218164 , 1425.44 , -455997
0.00217664 , 1423.16 , -456902
0.00217164 , 1420.87 , -457807
0.00216664 , 1418.58 , -458712
0.00216164 , 1416.29 , -459616
0.00215664 , 1413.99 , -460521
0.00215164 , 1411.68 , -461426
0.00214664 , 1409.37 , -462330
0.00214164 , 1407.06 , -463235
0.00213664 , 1404.74 , -464140
0.00213164 , 1402.42 , -465045
0.00212664 , 1400.09 , -465950
0.00212164 , 1397.76 , -466854
0.00211664 , 1395.42 , -467759
0.00211164 , 1393.08 , -468664
0.00210664 , 1390.73 , -469569
0.00210164 , 1388.38 , -470473
0.00209664 , 1386.03 , -471378
0.00209164 , 1383.67 , -472283
0.00208664 , 1381.31 , -473188
0.00208164 , 1378.94 , -474092
0.00207664 , 1376.57 , -474997
0.00207164 , 1374.19 , -475902
0.00206664 , 1371.81 , -476807
0.00206164 , 1369.42 , -477711
0.00205664 , 1367.03 , -478616
0.00205164 , 1364.63 , -479521
0.00204664 , 1362.23 , -480426
0.00204164 , 1359.83 , -481330
0.00203664 , 1357.42 , -482235
0.00203164 , 1355.01 , -483140
0.00202664 , 1352.59 , -484045
0.00202164 , 1350.17 , -484949
0.00201664 , 1347.74 , -485854
0.00201164 , 1345.31 , -486759
0.00200664 , 1342.87 , -487664
0.00200164 , 1340.43 , -488568
0.00199664 , 1337.99 , -489473
0.00199164 , 1335.54 , -490378
0.00198664 , 1333.08 , -491283
0.00198164 , 1330.62 , -492187
0.00197664 , 1328.16 , -493092
0.00197164 , 1325.69 , -493997
0.00196664 , 1323.22 , -494902
0.00196164 , 1320.75 , -495806
0.00195664 , 1318.26 , -496711
0.00195164 , 1315.78 , -497616
0.00194664 , 1313.29 , -498521
0.00194164 , 1310.79 , -499426
0.00193664 , 1308.29 , -500330
0.00193164 , 1305.79 , -501235
0.00192664 , 1303.28 , -502140
0.00192164 , 1300.77 , -503045
0.00191664 , 1298.25 , -503949
0.00191164 , 1295.73 , -504854
0.00190664 , 1293.2 , -505759
0.00190164 , 1290.67 , -506664
0.00189664 , 1288.14 , -507568
0.00189164 , 1285.6 , -508473
0.00188664 , 1283.05 , -509378
0.00188164 , 1280.5 , -510283
0.00187664 , 1277.95 , -511187
0.00187164 , 1275.39 , -512092
0.00186664 , 1272.83 , -512997
0.00186164 , 1270.26 , -513902
0.00185664 , 1267.69 , -514806
0.00185164 , 1265.11 , -515711
0.00184664 , 1262.53 , -516616
0.00184164 , 1259.95 , -517521
0.00183664 , 1257.36 , -518425
0.00183164 , 1254.76 , -519330
0.00182664 , 1252.16 , -520235
0.00182164 , 1249.56 , -521140
0.00181664 , 1246.95 , -522044
0.00181164 , 1244.34 , -522949
0.00180664 , 1241.72 , -523854
0.00180164 , 1239.1 , -524759
0.00179664 , 1236.47 , -525663
0.00179164 , 1233.84 , -526568
