z, Voltage (V), Electric Field (Newton/Coulomb)
0.00451852 , 672.826 , -126628
0.00451352 , 672.193 , -126689
0.00450852 , 671.559 , -126750
0.00450352 , 670.925 , -126811
0.00449852 , 670.291 , -126872
0.00449352 , 669.656 , -126933
0.00448852 , 669.022 , -126994
0.00448352 , 668.387 , -127055
0.00447852 , 667.751 , -127116
0.00447352 , 667.115 , -127177
0.00446852 , 666.479 , -127237
0.00446352 , 665.843 , -127298
0.00445852 , 665.206 , -127358
0.00445352 , 664.569 , -127419
0.00444852 , 663.932 , -127480
0.00444352 , 663.295 , -127540
0.00443852 , 662.657 , -127600
0.00443352 , 662.019 , -127661
0.00442852 , 661.38 , -127721
0.00442352 , 660.741 , -127781
0.00441852 , 660.102 , -127841
0.00441352 , 659.463 , -127901
0.00440852 , 658.823 , -127961
0.00440352 , 658.183 , -128021
0.00439852 , 657.543 , -128081
0.00439352 , 656.903 , -128141
0.00438852 , 656.262 , -128201
0.00438352 , 655.62 , -128261
0.00437852 , 654.979 , -128320
0.00437352 , 654.337 , -128380
0.00436852 , 653.695 , -128439
0.00436352 , 653.053 , -128499
0.00435852 , 652.41 , -128558
0.00435352 , 651.767 , -128618
0.00434852 , 651.124 , -128677
0.00434352 , 650.481 , -128736
0.00433852 , 649.837 , -128796
0.00433352 , 649.193 , -128855
0.00432852 , 648.548 , -128914
0.00432352 , 647.904 , -128973
0.00431852 , 647.258 , -129032
0.00431352 , 646.613 , -129091
0.00430852 , 645.968 , -129150
0.00430352 , 645.322 , -129209
0.00429852 , 644.675 , -129268
0.00429352 , 644.029 , -129326
0.00428852 , 643.382 , -129385
0.00428352 , 642.735 , -129444
0.00427852 , 642.088 , -129502
0.00427352 , 641.44 , -129561
0.00426852 , 640.792 , -129619
0.00426352 , 640.144 , -129678
0.00425852 , 639.495 , -129736
0.00425352 , 638.847 , -129795
0.00424852 , 638.197 , -129853
0.00424352 , 637.548 , -129911
0.00423852 , 636.898 , -129969
0.00423352 , 636.248 , -130027
0.00422852 , 635.598 , -130085
0.00422352 , 634.948 , -130143
0.00421852 , 634.297 , -130201
0.00421352 , 633.645 , -130259
0.00420852 , 632.994 , -130317
0.00420352 , 632.342 , -130375
0.00419852 , 631.69 , -130433
0.00419352 , 631.038 , -130491
0.00418852 , 630.385 , -130548
0.00418352 , 629.733 , -130606
0.00417852 , 629.079 , -130663
0.00417352 , 628.426 , -130721
0.00416852 , 627.772 , -130778
0.00416352 , 627.118 , -130836
0.00415852 , 626.464 , -130893
0.00415352 , 625.809 , -130950
0.00414852 , 625.154 , -131008
0.00414352 , 624.499 , -131065
0.00413852 , 623.844 , -131122
0.00413352 , 623.188 , -131179
0.00412852 , 622.532 , -131236
0.00412352 , 621.875 , -131293
0.00411852 , 621.219 , -131350
0.00411352 , 620.562 , -131407
0.00410852 , 619.905 , -131464
0.00410352 , 619.247 , -131521
0.00409852 , 618.59 , -131578
0.00409352 , 617.932 , -131634
0.00408852 , 617.273 , -131691
0.00408352 , 616.615 , -131748
0.00407852 , 615.956 , -131804
0.00407352 , 615.297 , -131861
